Movie,Year
The Adventures of Pluto Nash,2002
The Princess and the Pea,2002
Blue Crush,2002
The Kid Stays in the Picture,2002
Possession,2002
Kermit's Swamp Years,2002
Hysterical Blindness,2002
One Hour Photo,2002
Serving Sara,2002
Simone,2002
Undisputed,2002
FeardotCom,2002
Mickey's House of Villains,2002
City by the Sea,2002
Swimfan,2002
Barbershop,2002
Igby Goes Down,2002
Stealing Harvard,2002
Ballistic: Ecks vs. Sever,2002
The Banger Sisters,2002
The Four Feathers,2002
Secretary,2002
Spirited Away,2002
Trapped,2002
Just a Kiss,2002
Sweet Home Alabama,2002
The Tuxedo,2002
Jonah: A VeggieTales Movie,2002
Moonlight Mile,2002
Red Dragon,2002
Bowling for Columbine,2002
Brown Sugar,2002
Knockaround Guys,2002
Pinocchio,2002
Pokémon 4Ever,2002
The Rules of Attraction,2002
Swept Away,2002
The Transporter,2002
Tuck Everlasting,2002
White Oleander,2002
Abandon,2002
Auto Focus,2002
Formula 51,2002
The Grey Zone,2002
Real Women Have Curves,2002
The Ring,2002
Welcome to Collinwood,2002
All or Nothing,2002
Frida,2002
Ghost Ship,2002
Jackass: The Movie,2002
The Truth About Charlie,2002
Punch-Drunk Love,2002
The Santa Clause 2,2002
I Spy,2002
Femme Fatale,2002
8 Mile,2002
Far from Heaven,2002
Half Past Dead,2002
Die Another Day,2002
The Emperor's Club,2002
Friday After Next,2002
The Quiet American,2002
Eight Crazy Nights,2002
Extreme Ops,2002
Personal Velocity: Three Portraits,2002
Solaris,2002
They,2002
Treasure Planet,2002
Adaptation,2002
Analyze That,2002
Empire,2002
Equilibrium,2002
Live from Baghdad,2002
About Schmidt,2002
Drumline,2002
Evelyn,2002
The Hot Chick,2002
Maid in Manhattan,2002
Star Trek: Nemesis,2002
25th Hour,2002
Antwone Fisher,2002
Gangs of New York,2002
Narc,2002
Two Weeks Notice,2002
The Wild Thornberrys Movie,2002
Catch Me If You Can,2002
The Hours,2002
The Pianist,2002
Talk to Her,2002
Nicholas Nickleby,2002
Sonny,2002
Confessions of a Dangerous Mind,2002
Finding Nemo,2003
Pirates of the Caribbean: The Curse of the Black Pearl,2003
The Matrix Reloaded,2003
The Lord of the Rings: The Return of the King,2003
Bruce Almighty,2003
X2: X-Men United,2003
Elf,2003
Chicago,2003
Terminator 3: Rise of the Machines,2003
Bad Boys II,2003
Just Married,2003
City of God,2003
Divine Intervention,2003
A Guy Thing,2003
Kangaroo Jack,2003
National Security,2003
101 Dalmatians II: Patch's London Adventure,2003
Amen.,2003
Blind Spot: Hitler's Secretary,2003
Darkness Falls,2003
Super Sucker,2003
Biker Boyz,2003
Final Destination 2,2003
The Guru,2003
Lost in La Mancha,2003
The Recruit,2003
Deliver Us from Eva,2003
How to Lose a Guy in 10 Days,2003
Shanghai Knights,2003
Daredevil,2003
The Jungle Book 2,2003
Dark Blue,2003
Gods and Generals,2003
The Life of David Gale,2003
Old School,2003
Cradle 2 the Grave,2003
Poolhall Junkies,2003
Scooby-Doo and the Legend of the Vampire,2003
Bringing Down the House,2003
Tears of the Sun,2003
Inspector Gadget 2,2003
Agent Cody Banks,2003
Bend It Like Beckham,2003
The Hunted,2003
Willard,2003
Normal,2003
Charlotte's Web 2: Wilbur's Great Adventure,2003
Boat Trip,2003
Dreamcatcher,2003
Piglet's Big Movie,2003
View from the Top,2003
Assassination Tango,2003
Basic,2003
Blue Collar Comedy Tour: The Movie,2003
The Core,2003
Head of State,2003
A Man Apart,2003
Phone Booth,2003
What a Girl Wants,2003
Dysfunktional Family,2003
Anger Management,2003
House of 1000 Corpses,2003
Cube 2: Hypercube,2003
Bulletproof Monk,2003
Chasing Papi,2003
A Mighty Wind,2003
Holes,2003
Malibu's Most Wanted,2003
Confidence,2003
The Good Thief,2003
Identity,2003
It Runs in the Family,2003
The Real Cancun,2003
The Dancer Upstairs,2003
The Lizzie McGuire Movie,2003
Marooned in Iraq,2003
Owning Mahowny,2003
X2,2003
Daddy Day Care,2003
The Man on the Train,2003
The Shape of Things,2003
Down with Love,2003
L'Auberge Espagnole,2003
Pokémon Heroes,2003
Sweet Sixteen,2003
The In-Laws,2003
My House in Umbria,2003
The Italian Job,2003
Wrong Turn,2003
The Animatrix,2003
2 Fast 2 Furious,2003
The Eye,2003
Love the Hard Way,2003
Whale Rider,2003
Les Triplettes de Belleville,2003
Dumb and Dumberer: When Harry Met Lloyd,2003
The Heart of Me,2003
Hollywood Homicide,2003
Rugrats Go Wild,2003
Alex & Emma,2003
From Justin to Kelly,2003
Hulk,2003
The Legend of Suriyothai,2003
28 Days Later,2003
Charlie's Angels: Full Throttle,2003
The Hard Word,2003
On Line,2003
The Room,2003
Gasoline,2003
"Legally Blonde 2: Red, White & Blonde",2003
Sinbad: Legend of the Seven Seas,2003
Swimming Pool,2003
Simhadri,2003
The Cuckoo,2003
The Holy Land,2003
A Housekeeper,2003
I Capture the Castle,2003
Km. 0,2003
The League of Extraordinary Gentlemen,2003
Northfork,2003
Washington Heights,2003
How to Deal,2003
Johnny English,2003
Dirty Pretty Things,2003
Masked and Anonymous,2003
Lara Croft Tomb Raider: The Cradle of Life,2003
Seabiscuit,2003
Spy Kids 3-D: Game Over,2003
Undefeated,2003
American Wedding,2003
And Now... Ladies and Gentlemen,2003
Gigli,2003
The Magdalene Sisters,2003
The Secret Lives of Dentists,2003
Freaky Friday,2003
Seaside,2003
Le Divorce,2003
The Princess Blade,2003
Step into Liquid,2003
S.W.A.T.,2003
American Splendor,2003
Freddy vs. Jason,2003
Grind,2003
Open Range,2003
Passionada,2003
Uptown Girls,2003
Thirteen,2003
The Battle of Shaker Heights,2003
Dust,2003
Marci X,2003
My Boss's Daughter,2003
Stoked: The Rise and Fall of Gator,2003
Stitch! The Movie,2003
Civil Brand,2003
Jeepers Creepers 2,2003
Once Upon a Time in the Midlands,2003
The Other Side of the Bed,2003
Avenging Angelo,2003
Dickie Roberts: Former Child Star,2003
The Order,2003
Party Monster,2003
And Starring Pancho Villa as Himself,2003
Cabin Fever,2003
Dummy,2003
Matchstick Men,2003
Lost in Translation,2003
Once Upon a Time in Mexico,2003
Anything Else,2003
Cold Creek Manor,2003
The Fighting Temptations,2003
Secondhand Lions,2003
Underworld,2003
Duplex,2003
The Rundown,2003
Under the Tuscan Sun,2003
Scooby-Doo! and the Monster of Mexico,2003
Out of Time,2003
School of Rock,2003
Wonderland,2003
Good Boy!,2003
House of the Dead,2003
Intolerable Cruelty,2003
Kill Bill: Volume 1,2003
Mystic River,2003
Pieces of April,2003
Runaway Jury,2003
The Texas Chainsaw Massacre,2003
Veronica Guerin,2003
In the Cut,2003
Beyond Borders,2003
Radio,2003
Scary Movie 3,2003
The Singing Detective,2003
Alien,2003
The Human Stain,2003
Shattered Glass,2003
Brother Bear,2003
The Matrix Revolutions,2003
Love Actually,2003
Looney Tunes: Back in Action,2003
Master and Commander: The Far Side of the World,2003
Tupac: Resurrection,2003
21 Grams,2003
The Cat in the Hat,2003
Gothika,2003
Bad Santa,2003
The Cooler,2003
The Haunted Mansion,2003
In America,2003
The Missing,2003
Timeline,2003
Kim Possible: A Sitch in Time,2003
Beethoven's 5th,2003
Honey,2003
The Last Samurai,2003
The Station Agent,2003
Georges Bataille's Story of the Eye,2003
Girl with a Pearl Earring,2003
Love Don't Cost a Thing,2003
Something's Gotta Give,2003
Stuck on You,2003
My Life Without Me,2003
Calendar Girls,2003
House of Sand and Fog,2003
Mona Lisa Smile,2003
Monster,2003
Big Fish,2003
Cheaper by the Dozen,2003
Cold Mountain,2003
The Company,2003
Paycheck,2003
Peter Pan,2003
Leprechaun: Back 2 tha Hood,2003
Shrek 2,2004
Spider-Man 2,2004
The Passion of the Christ,2004
Meet the Fockers,2004
The Incredibles,2004
Harry Potter and the Prisoner of Azkaban,2004
The Day After Tomorrow,2004
The Bourne Supremacy,2004
National Treasure,2004
The Polar Express,2004
Chasing Liberty,2004
My Baby's Daddy,2004
Along Came Polly,2004
Teacher's Pet,2004
Torque,2004
Everyday People,2004
D.E.B.S.,2004
The Butterfly Effect,2004
Win a Date with Tad Hamilton!,2004
The Big Bounce,2004
The Perfect Score,2004
You Got Served,2004
Barbershop 2: Back in Business,2004
Catch That Kid,2004
Miracle,2004
50 First Dates,2004
Iron Jawed Angels,2004
Against the Ropes,2004
Clifford's Really Big Movie,2004
Confessions of a Teenage Drama Queen,2004
EuroTrip,2004
Welcome to Mooseport,2004
Club Dread,2004
Twisted,2004
Hidalgo,2004
Starsky & Hutch,2004
In My Country,2004
Agent Cody Banks 2: Destination London,2004
Secret Window,2004
Spartan,2004
Dawn of the Dead,2004
Eternal Sunshine of the Spotless Mind,2004
Taking Lives,2004
Mango Kiss,2004
Dogville,2004
Jersey Girl,2004
The Ladykillers,2004
Ned Kelly,2004
Never Die Alone,2004
Scooby-Doo 2: Monsters Unleashed,2004
Girl Play,2004
Hellboy,2004
Home on the Range,2004
The Prince and Me,2004
Walking Tall,2004
Johnson Family Vacation,2004
The Alamo,2004
Ella Enchanted,2004
The Girl Next Door,2004
The Whole Ten Yards,2004
Connie and Carla,2004
Kill Bill: Volume 2,2004
The Punisher,2004
13 Going on 30,2004
Man on Fire,2004
Bobby Jones: Stroke of Genius,2004
Envy,2004
Godsend,2004
Laws of Attraction,2004
Mean Girls,2004
The Saddest Music in the World,2004
New York Minute,2004
Off the Lip,2004
Super Size Me,2004
Van Helsing,2004
Breakin' All the Rules,2004
Coffee and Cigarettes,2004
A Slipping-Down Life,2004
Troy,2004
Stateside,2004
Baadasssss!,2004
Raising Helen,2004
Saved!,2004
Soul Plane,2004
Something the Lord Made,2004
Donnie Darko,2004
The Chronicles of Riddick,2004
Garfield: The Movie,2004
Napoleon Dynamite,2004
The Stepford Wives,2004
Around the World in 80 Days,2004
DodgeBall: A True Underdog Story,2004
The Terminal,2004
Scooby-Doo! and the Loch Ness Monster,2004
White Chicks,2004
Fahrenheit 9/11,2004
The Notebook,2004
Two Brothers,2004
America's Heart and Soul,2004
Before Sunset,2004
The Clearing,2004
De-Lovely,2004
King Arthur,2004
